Date,TSLA.US,^NDQ,GM.US,^DJI,mon_dum,tue_dum,wed_dum,thr_dum,fri_dum
2012/7/13,11.84977064,3.68782251,3.714560404,4.052645016,0,0,0,0,1
2012/7/16,12.48177005,-0.991070907,-3.050699243,-0.975965576,1,0,0,0,0
2012/7/17,-18.14518652,1.130503221,2.855332077,1.538632583,0,1,0,0,0
2012/7/18,-8.995515735,2.797212409,5.99098203,2.013972078,0,0,1,0,0
2012/7/19,0.933127423,1.979541902,0.883929959,0.671252721,0,0,0,1,0
2012/7/20,-3.718629871,-3.422232712,-9.698651352,-2.333049533,0,0,0,0,1
2012/7/23,-8.886063048,-3.003965405,-0.751889794,-1.971328681,1,0,0,0,0
2012/7/24,-6.686643836,-2.34935903,-3.652952663,-2.046541828,0,1,0,0,0
2012/7/25,-7.456027909,-0.764061348,-2.892237256,1.163678182,0,0,1,0,0
2012/7/26,-7.081606218,3.416846516,4.130745885,4.178746534,0,0,0,1,0
2012/7/27,12.26450811,5.60269593,7.328087488,3.641585577,0,0,0,0,1
2012/7/30,-18.29891274,-1.035296424,-3.946229526,-0.050666659,1,0,0,0,0
2012/7/31,0.640311957,-0.536349564,4.544905275,-1.230206356,0,1,0,0,0
2012/8/1,-10.66739606,-1.642274929,-0.65604684,-0.722978811,0,0,1,0,0
2012/8/2,-1.428571429,-0.893771338,-6.630615861,-1.776647398,0,0,0,1,0
2012/8/3,11.20689655,4.994380999,11.76182974,4.217952182,0,0,0,0,1
2012/8/6,9.168041804,1.854004515,-2.372165724,0.40737101,1,0,0,0,0
2012/8/7,17.50969666,2.169797753,7.202676777,0.973698514,0,1,0,0,0
2012/8/8,-9.587587459,-0.382146386,-0.491659294,0.133651261,0,0,1,0,0
2012/8/9,2.75095007,0.613532586,3.317667015,-0.198282588,0,0,0,1,0
2012/8/10,4.504837632,0.183857631,-1.362552158,0.8119898,0,0,0,0,1
2012/8/13,10.27054108,0.137378098,-0.84953837,-0.729106334,1,0,0,0,0
2012/8/14,-14.03633301,-0.45822691,-3.162105531,0.051444899,0,1,0,0,0
2012/8/15,-0.16952782,1.155957282,-0.848885516,-0.139688767,0,0,1,0,0
2012/8/16,7.653061224,2.594913112,14.75930825,1.620422066,0,0,0,1,0
2012/8/17,-2.392326733,1.159225311,7.962210347,0.473392296,0,0,0,0,1
2012/8/20,-4.166104355,-0.030878343,-1.601750263,-0.067042304,1,0,0,0,0
2012/8/21,-3.387840372,-0.727356065,-2.692245975,-1.282057078,0,1,0,0,0
2012/8/22,7.214003411,0.522453264,1.165522172,-0.583553854,0,0,1,0,0
2012/8/23,6.51084055,-1.648680568,-4.538795037,-2.188227828,0,0,0,1,0
2012/8/24,-10.00649202,1.341946682,-1.894158561,1.924378861,0,0,0,0,1
2012/8/27,-10.00040678,0.276891905,0.503237289,-0.632696381,1,0,0,0,0
