Year,Economy,Economy Label,Flow,Flow Label,Direction,Direction Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of total world,Percentage of total world Footnote,Percentage of total world Missing value
1990,531,Curacao,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,196,Cyprus,8,Flow,1,Inward,126.62,,,0.0618,,
1990,196,Cyprus,8,Flow,2,Outward,4.584,,,0.00188,,
1990,196,Cyprus,9,Stock,1,Inward,,,Negative accumulation of flows; Value included in regional and global totals,,,Negative accumulation of flows; Value included in regional and global totals
1990,196,Cyprus,9,Stock,2,Outward,8.484,,,0.000376,,
1990,203,Czechia,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,203,Czechia,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,203,Czechia,9,Stock,1,Inward,,,Not applicable,,,Not applicable
1990,203,Czechia,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,200,Czechoslovakia,8,Flow,1,Inward,165,,,0.080532,,
1990,200,Czechoslovakia,8,Flow,2,Outward,19.6,,,0.008037,,
1990,200,Czechoslovakia,9,Stock,1,Inward,1644.769,,,0.074891,,
1990,408,Dem. People's Rep. of Korea,8,Flow,1,Inward,6.24,,,0.003046,,
1990,408,Dem. People's Rep. of Korea,9,Stock,1,Inward,7.026,,,0.00032,,
1990,180,Dem. Rep. of the Congo,8,Flow,1,Inward,-14.46,,,-0.007058,,
1990,180,Dem. Rep. of the Congo,9,Stock,1,Inward,546.4,,,0.024879,,
1990,208,Denmark,8,Flow,1,Inward,1132.15,,,0.552571,,
1990,208,Denmark,8,Flow,2,Outward,1482.23,,,0.607783,,
1990,208,Denmark,9,Stock,1,Inward,9191.828,,,0.418533,,
1990,208,Denmark,9,Stock,2,Outward,7341.938,,,0.325599,,
1990,262,Djibouti,8,Flow,1,Inward,0.06,,,2.90E-05,,
1990,262,Djibouti,9,Stock,1,Inward,12.74,,,0.00058,,
1990,212,Dominica,8,Flow,1,Inward,7.56,,,0.00369,,
1990,214,Dominican Republic,8,Flow,1,Inward,132.8,,,0.064816,,
1990,214,Dominican Republic,9,Stock,1,Inward,571.5,,,0.026022,,
1990,218,Ecuador,8,Flow,1,Inward,126.18,,,0.061585,,
1990,218,Ecuador,9,Stock,1,Inward,1626,,,0.074037,,
1990,818,Egypt,8,Flow,1,Inward,734,,,0.358245,,
1990,818,Egypt,8,Flow,2,Outward,12,,,0.004921,,
1990,818,Egypt,9,Stock,1,Inward,11042.55,,,0.502802,,
1990,818,Egypt,9,Stock,2,Outward,162.62,,,0.007212,,
1990,222,El Salvador,8,Flow,1,Inward,1.9,,,0.000927,,
1990,222,El Salvador,9,Stock,1,Inward,212.1,,,0.009658,,
1990,222,El Salvador,9,Stock,2,Outward,56.099,,,0.002488,,
1990,226,Equatorial Guinea,8,Flow,1,Inward,11.074,,,0.005405,,
1990,226,Equatorial Guinea,9,Stock,1,Inward,25.354,,,0.001154,,
1990,232,Eritrea,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,232,Eritrea,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,232,Eritrea,9,Stock,1,Inward,,,Not applicable,,,Not applicable
1990,232,Eritrea,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,233,Estonia,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,233,Estonia,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,233,Estonia,9,Stock,1,Inward,,,Not applicable,,,Not applicable
1990,233,Estonia,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,748,Eswatini,8,Flow,1,Inward,28.461,,,0.013891,,
1990,748,Eswatini,8,Flow,2,Outward,3.088,,,0.001266,,
1990,748,Eswatini,9,Stock,1,Inward,335.676,,,0.015284,,
1990,748,Eswatini,9,Stock,2,Outward,38.308,,,0.001699,,
1990,231,Ethiopia,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,231,Ethiopia,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,231,Ethiopia,9,Stock,1,Inward,,,Not applicable,,,Not applicable
1990,231,Ethiopia,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,230,Ethiopia (...1991),8,Flow,1,Inward,12,,,0.005857,,
1990,230,Ethiopia (...1991),9,Stock,1,Inward,124.41,,,0.005665,,
1990,242,Fiji,8,Flow,1,Inward,84.137,,,0.041065,,
1990,242,Fiji,8,Flow,2,Outward,2.566,,,0.001052,,
1990,242,Fiji,9,Stock,1,Inward,283.715,,,0.012918,,
1990,242,Fiji,9,Stock,2,Outward,24.72,,,0.001096,,
1990,246,Finland,8,Flow,1,Inward,644.669,,,0.314645,,
1990,246,Finland,8,Flow,2,Outward,2217.362,,,0.909222,,
1990,246,Finland,9,Stock,1,Inward,4276.524,,,0.194724,,
1990,246,Finland,9,Stock,2,Outward,9355.11,,,0.414879,,
1990,250,France,8,Flow,1,Inward,16506.193,,,8.056215,,
1990,250,France,8,Flow,2,Outward,38302.213,,,15.705691,,
1990,250,France,9,Stock,1,Inward,104267.949,,,4.747646,,
1990,250,France,9,Stock,2,Outward,119860.016,,,5.315528,,
1990,254,French Guiana,8,Flow,1,Inward,2.02,,,0.000986,,
1990,258,French Polynesia,8,Flow,1,Inward,22.16,,,0.010816,,
1990,258,French Polynesia,9,Stock,1,Inward,69.26,,,0.003154,,
1990,266,Gabon,8,Flow,1,Inward,73.458,,,0.035853,,
1990,266,Gabon,8,Flow,2,Outward,28.796,,,0.011807,,
1990,266,Gabon,9,Stock,1,Inward,1208.448,,,0.055024,,
1990,266,Gabon,9,Stock,2,Outward,166.586,,,0.007388,,
