Date,TSLA.US,^NDQ,GM.US,^DJI
2019/11/7,6.858579827,0.710113273,0.452048126,1.657175614
2019/11/8,1.192482554,1.2090196,1.176140763,0.058175669
2019/11/11,5.895177078,-0.325356831,0.317572523,0.09257172
2019/11/12,3.506693906,0.64417765,-0.838707965,0
2019/11/13,-2.729470566,-0.117545301,-9.067098795,0.831482885
2019/11/14,2.340296438,-0.090779406,-2.626510485,-0.014666931
2019/11/15,2.018033491,1.822439386,0.611586634,2.006067966
2019/11/18,-1.547193117,0.266660266,-1.830282398,0.279683298
2019/11/19,6.806970475,0.605852205,-1.634706861,-0.911321141
2019/11/20,-5.076560414,-1.281406566,-7.557845555,-1.010685179
2019/11/21,1.852537977,-0.601637439,-4.320552518,-0.49243218
2019/11/22,-15.35173936,0.402059201,4.757416234,0.984377099
2019/11/25,2.477176199,3.304033268,3.395988225,1.711621123
2019/11/26,-5.515615871,0.447147926,0.699510414,0.49177898
2019/11/27,1.618934695,1.655020334,1.595441759,0.376222189
2019/11/29,-0.838241957,-1.140384231,-0.962569278,-0.999414146
2019/12/2,3.735906528,-2.812339918,-0.837831743,-2.391769255
2019/12/3,0.992174587,-1.381595917,-2.438168617,-2.52159231
2019/12/4,-2.356859543,1.350544091,1.900326845,1.335954399
2019/12/5,-1.996441762,0.117606958,-0.778652995,0.253256988
2019/12/6,4.177128406,2.503587805,1.63416102,3.046395684
2019/12/9,2.708471957,-1.002133649,-1.12504041,-0.941100965
2019/12/10,6.855442605,-0.163828329,-1.909647383,-0.249734858
2019/12/11,2.765952872,1.098804807,0.922354277,0.26522754
2019/12/12,4.948263323,1.827756946,6.103824159,1.977245775
2019/12/13,-0.896629092,0.503595142,-3.119296546,0.029592582
2019/12/16,16.11998644,2.271067261,3.229297982,0.893092612
2019/12/17,-1.644497568,0.258956256,1.381118241,0.276863949
2019/12/18,9.340615847,0.123819044,6.885152712,-0.246575885
2019/12/19,6.924837848,1.684747948,-0.3324758,1.218869603
2019/12/20,0.958754084,1.061636822,-0.067538804,0.688322498
2019/12/23,8.401659806,0.579554418,-3.219537227,0.847300079
2019/12/24,3.595963933,0.202053512,-1.294108213,-0.315920022
2019/12/26,3.344797178,1.940995523,-0.685165677,0.928794741
2019/12/27,-0.324581525,-0.436968475,0.547687865,0.20849791
2019/12/30,-9.107939495,-1.682928779,-0.816259557,-1.598170168
2019/12/31,2.188326274,0.74374105,1.096561596,0.670188538
2020/1/2,7.129231553,3.331975868,5.324128735,2.893991402
2020/1/3,7.408311254,-1.963773304,-7.087269572,-2.025716344
2020/1/6,4.813943252,1.405090696,-3.303388213,0.598046858
2020/1/7,9.700126567,-0.079645306,-4.815043874,-1.042560144
2020/1/8,12.30065205,1.672257399,-3.556551924,1.411732149
2020/1/9,-5.486249326,2.031658714,3.104624071,1.842140693
2020/1/10,-1.656315345,-0.667414214,-3.066542227,-1.149380631
2020/1/13,24.41673699,2.589373844,2.381287744,0.722320501
2020/1/14,6.216061732,-0.609234704,1.215017382,0.282111111
2020/1/15,-9.016313441,0.199160553,0,0.782230758
2020/1/16,-2.411280221,2.657770529,2.850737634,2.302945
2020/1/17,-1.460566174,0.849886664,0.348928332,0.430580757
2020/1/21,17.97283837,-0.482748851,-4.285551081,-1.295313836
2020/1/22,10.21107456,0.345701172,-0.57246141,-0.083658606
2020/1/23,1.163418488,0.49846714,-0.209704666,-0.224249279
2020/1/24,-3.233569352,-2.328322385,-4.091216492,-1.460557906
2020/1/27,-3.009696361,-4.712874306,-6.557500934,-3.914575955
2020/1/28,3.987231183,3.566188257,1.727092064,1.638730998
2020/1/29,6.218033355,0.147901546,-0.300734154,0.100964911
2020/1/30,25.73173471,0.64068948,-2.010839469,1.087457738
2020/1/31,3.803838951,-3.978896936,0.456069384,-5.22714578
2020/2/3,49.74636846,3.345668684,2.46955685,1.272117845
2020/2/4,34.31105769,5.245487092,4.81843428,3.589988806
2020/2/5,-42.93738068,1.074913176,4.800538406,4.193507067
2020/2/6,4.848917926,1.668764223,-4.99962267,0.758940079
2020/2/7,-0.300420589,-1.34880822,-5.093503062,-2.359276468
2020/2/10,7.770202527,2.832831434,4.605344709,1.497379436
2020/2/11,1.00495916,0.273929494,5.548463708,-0.004098806
2020/2/12,-2.292418458,2.257042787,3.426258836,2.34899581
2020/2/13,11.95768406,-0.359655939,-1.404546692,-1.083788867
2020/2/14,-1.228078358,0.494389913,-3.757015593,-0.214370851
2020/2/18,18.23322403,0.040180139,-2.519247195,-1.41072138
2020/2/19,17.18297578,2.168967834,3.706160633,0.990688689
2020/2/20,-4.905166776,-1.68607482,2.652573958,-1.090788717
2020/2/21,0.44487992,-4.47083726,-4.539246983,-1.947041032
2020/2/24,-18.6459386,-9.275483236,-11.25426226,-8.895517827
2020/2/25,-10.16430189,-6.931467215,-10.12472307,-7.863151269
2020/2/26,-6.594726469,0.42278207,1.968705666,-1.142575558
2020/2/27,-32.03630586,-11.53283113,-10.07482842,-11.04466312
2020/2/28,-4.050438844,0.025914965,-1.713366243,-3.466497766
2020/3/2,28.29343435,11.22859567,7.541662916,12.7311353
2020/3/3,0.638952823,-7.486317556,-7.160632459,-7.357792964
2020/3/4,1.341549296,9.615227387,8.274615628,11.31912872
2020/3/5,-8.322542814,-7.74812244,-8.426314092,-8.947482657
2020/3/6,-7.26296133,-4.662563032,-11.71124119,-2.454895013
2020/3/9,-33.93763326,-18.21857037,-34.85510012,-19.46430629
2020/3/10,15.35774289,12.37558291,24.60525406,12.23364871
2020/3/11,-4.299995584,-11.7506624,-10.32476239,-14.6387664
2020/3/12,-29.04988494,-23.58665079,-28.46151171,-24.97110798
2020/3/13,-6.221568103,23.3647426,18.12068101,23.40733431
2020/3/16,-46.43729418,-30.80312386,-37.5350624,-32.31636678
2020/3/17,-8.352347218,15.57622811,-8.095878158,12.98832208
2020/3/18,-40.08629707,-11.75692747,-43.30728124,-15.75594541
2020/3/19,45.96927907,5.748840747,13.54300577,2.365329375
2020/3/20,-0.064014199,-9.476856277,6.069028105,-11.36557677
2020/3/23,3.953231352,-0.684822687,-7.442478611,-7.5890608
2020/3/24,40.70432119,20.30354748,49.85902551,28.41259622
2020/3/25,16.95518123,-1.131121832,4.499124443,5.98457081
2020/3/26,-5.146036161,13.99057053,12.44893285,15.9385016
2020/3/27,-6.53223516,-9.463244612,-13.07622436,-10.1474714
2020/3/30,-5.929571304,9.056263102,-0.702405563,7.980623734
2020/3/31,10.87771495,-2.38138544,-6.331216253,-4.594338456
2020/4/1,-20.24787237,-11.02310646,-18.28711201,-11.10602377
2020/4/2,-14.06366808,4.304313164,-13.88896133,5.609494302
2020/4/3,14.04960723,-3.814052869,-2.061209501,-4.213592024
2020/4/6,18.87458712,18.31509967,20.92544128,19.32618075
2020/4/7,14.13993788,-0.820713341,22.37799427,-0.288029228
2020/4/8,1.558576917,6.454808134,21.47913395,8.604604248
2020/4/9,11.0002733,1.93649584,10.05163706,3.049044597
2020/4/13,34.00981675,1.191195273,-10.90936418,-3.463414079
2020/4/14,22.63997032,9.86627891,-0.326323739,5.974471982
2020/4/15,7.025632465,-3.598160583,-14.36061862,-4.649420286
2020/4/16,5.257754842,4.145808452,-9.11759659,0.354508846
2020/4/17,2.918679549,3.450949456,19.28519515,7.485975678
2020/4/20,-2.503481894,-2.584119727,-1.111533134,-6.105499064
2020/4/21,-19.98072621,-8.687928329,-12.73480105,-6.675985732
2020/4/22,16.5285059,7.023586058,0.705853977,4.962665429
2020/4/23,-9.032571348,-0.01842178,2.583202464,0.420006628
2020/4/24,6.908528951,4.113333254,4.994538682,2.764268819
2020/4/27,25.37425041,2.769233264,5.695287258,3.769778429
2020/4/28,-9.28028169,-3.506033793,-3.006819036,-0.33386813
2020/4/29,10.20706684,8.915793256,18.03409359,5.521532847
2020/4/30,-5.808865828,-0.705547348,-15.66433773,-2.92422706
2020/5/1,-25.77086215,-8.003863187,-15.59042628,-6.387467695
2020/5/4,21.3535729,3.07285413,-1.793945045,0.274725391
2020/5/5,2.298671638,2.824280211,6.144465745,1.403487867
2020/5/6,4.686282665,1.284662794,7.407451156,-2.286659725
2020/5/7,-0.814592905,3.537031583,6.282237192,2.231705194
2020/5/8,12.61169964,3.943884964,16.59974395,4.768722758
2020/5/11,-2.47131897,1.946648073,-11.80501627,-1.12334637
2020/5/12,-0.585633806,-5.161713922,-2.631335472,-4.718955792
2020/5/13,-5.698665678,-3.870680655,-12.19015348,-5.436721905
2020/5/14,3.919495543,2.272184423,9.902357281,4.058096255
2020/5/15,-1.307026012,1.980104033,3.586254716,0.635758046
2020/5/18,4.535753904,6.10867308,24.08293532,9.625647339
2020/5/19,-1.735698234,-1.346099787,-1.209582729,-3.969021891
2020/5/20,2.335858703,5.189707161,7.999682657,3.811316296
2020/5/21,3.693672981,-2.423666052,3.139093891,-1.035363913
2020/5/22,-3.23208871,1.069103632,1.744269801,-0.091525252
2020/5/26,0.59676827,0.419160656,13.66414959,5.415353916
2020/5/27,0.427276058,1.930789432,3.558872159,5.532682193
2020/5/28,-4.40399537,-1.15189001,-9.986372772,-1.444618364
2020/5/29,9.059475056,3.225614845,-7.496206716,-0.172535023
2020/6/1,18.89190486,1.637983105,10.24018289,0.905227925
2020/6/2,-4.606811383,1.474186324,4.361646594,2.626396368
2020/6/3,0.396886166,1.939349786,15.14004889,5.120296473
2020/6/4,-5.251999123,-1.732381925,0.774031252,0.113533022
2020/6/5,6.145588764,5.154738346,12.43153398,7.887201115
2020/6/8,18.13668951,2.819010766,0.571827057,4.255286972
2020/6/9,-2.434597097,0.730698874,-6.681738709,-2.721376853
2020/6/10,22.43143039,1.672660553,-9.293242593,-2.58788221
2020/6/11,-12.73108008,-13.16378669,-19.56612126,-17.24546767
2020/6/12,-9.649735494,2.530410914,13.77416995,4.749351027
2020/6/15,14.86168334,3.577425518,-1.699336073,1.53892478
2020/6/16,-2.207462913,4.365736578,0.090431612,5.112144628
2020/6/17,2.45621725,0.370457687,-5.579420868,-1.620103933
2020/6/18,3.06261343,0.820339495,-0.644463348,-0.378164146
2020/6/19,-0.759375467,0.077239873,-4.614677232,-1.999992331
2020/6/22,-1.648515512,2.773618424,-2.068340228,1.483294719
2020/6/23,1.88574782,1.861985369,-1.137077881,1.259752176
2020/6/24,-10.21910051,-5.483068924,-9.238637538,-6.787709177
2020/6/25,6.543421687,2.720561952,-0.494707229,2.944084597
2020/6/26,-6.655682888,-6.483503045,-7.629416402,-7.089075415
2020/6/29,12.92016823,2.996089357,8.586207038,5.798893088
2020/6/30,17.44947243,4.674249022,0,2.120269732
2020/7/1,9.226009805,2.382498059,-3.360940825,-0.754565163
2020/7/2,19.87251368,1.304823514,2.805077311,0.897514161
2020/7/6,33.70484272,5.535565063,4.85342227,4.449448182
2020/7/7,3.32649825,-2.150733444,-5.828752577,-3.774199672
2020/7/8,-4.308107239,3.591733864,-1.890699199,1.710107848
2020/7/9,5.197946409,1.316416488,-15.23582246,-3.464016959
2020/7/10,26.95896757,1.651774075,10.35282159,3.590686098
2020/7/13,-7.704875846,-5.335561115,4.818701504,0.100669983
2020/7/14,3.298237633,2.351590439,7.84293126,5.336140736
2020/7/15,4.813587816,1.475652567,12.09118191,2.134833738
2020/7/16,-7.335034492,-1.816503309,-0.279342135,-1.259671531
2020/7/17,0.034984956,0.700794265,-3.725298735,-0.586877509
2020/7/20,23.67650439,6.281424977,-4.15763109,0.083608435
2020/7/21,-11.35730784,-2.01377531,1.344947708,1.494797583
2020/7/22,3.82566447,0.603210004,1.43474503,1.540960641
2020/7/23,-12.4508982,-5.714249687,4.372295364,-3.272532904
2020/7/24,-15.87017944,-2.347673643,-4.764487721,-1.711295035
2020/7/27,21.63010881,4.17560054,-5.237810968,1.085006398
2020/7/28,-10.24624903,-3.183764273,6.127709638,-1.932403402
2020/7/29,3.826702955,3.385137025,-4.177523778,1.519089983
2020/7/30,-1.934410646,1.063982153,-6.662799676,-2.128142996
2020/7/31,-9.537979987,3.717954893,-3.07532248,1.089453573
2020/8/3,9.479384756,3.665101017,7.532831279,2.233210435
2020/8/4,0.336616162,0.879819863,1.560247289,1.538287004
2020/8/5,-0.336163529,1.307675505,5.135472919,3.476251162
2020/8/6,0.774494949,2.492862598,2.75449513,1.704500337
2020/8/7,-6.192935623,-2.185123068,0.937718156,0.424471775
2020/8/10,-5.877071702,-0.967670453,11.79045786,3.262072475
2020/8/11,-7.780744422,-4.228982273,4.824192946,-0.940307519
2020/8/12,32.80512121,5.319109472,-4.295239135,2.61793389
2020/8/13,10.65364206,0.68696287,-4.281628865,-0.715949335
2020/8/14,4.580491732,-0.525243378,2.813003624,0.307383807
2020/8/17,28.01075904,2.50537693,19.29345083,-0.770738054
2020/8/18,7.007035636,1.821922005,-1.416726917,-0.600109679
2020/8/19,-1.13268737,-1.435664054,-5.19425434,-0.766701934
2020/8/20,16.40888875,2.657570206,-3.336347104,0.422942648
2020/8/21,6.013172782,1.039729426,-2.341422623,1.71775284
2020/8/24,-4.366452765,1.50108736,15.31916839,3.38458228
2020/8/25,1.135686625,1.905802603,-5.113690971,-0.53005356
2020/8/26,16.03714137,4.329798098,-1.769480355,0.73880186
2020/8/27,9.939530315,-0.851260088,1.782093875,1.414923521
2020/8/28,-2.830820771,1.511568694,2.777711991,1.417928442
2020/8/31,31.42281106,1.706406581,-3.247437686,-1.952790321
2020/9/1,-11.67470365,3.486275695,1.349294333,1.89596923
2020/9/2,-14.56741396,2.445000574,9.820070744,3.969536747
2020/9/3,-22.55855904,-12.40706212,-11.95207813,-6.939485576
2020/9/4,6.95268562,-3.163046229,4.410937899,-1.40866576
2020/9/8,-52.6570568,-10.28539405,19.83238072,-5.619850633
2020/9/9,27.30762242,6.772640074,-3.31942484,3.996052491
2020/9/10,3.454333991,-4.980675956,-13.9279707,-3.631739194
2020/9/11,0.929067701,-1.512190476,2.403069803,1.189958227
2020/9/14,31.45726014,4.678427499,5.909666526,2.961164101
2020/9/15,17.95736132,3.022389241,3.207152062,0.020272686
2020/9/16,-4.447371932,-3.124352119,1.661990826,0.32844447
2020/9/17,-10.37330309,-3.171584557,1.022207336,-1.162940856
2020/9/18,11.05262039,-2.680957776,-3.289370165,-2.191242342
2020/9/21,4.094773481,-0.335393875,-11.90426838,-4.6074435
2020/9/22,-13.99727631,4.28711916,-4.6676243,1.29366392
2020/9/23,-25.8521321,-7.539694846,-0.848753058,-4.810232855
2020/9/24,4.882204011,0.923540791,-1.959210085,0.488638661
2020/9/25,12.60414813,5.652265169,-0.945502479,3.342477319
2020/9/28,8.506407424,4.672398374,3.792903979,3.77291348
2020/9/29,-1.264245014,-0.725880659,-5.943830461,-1.190905182
2020/9/30,5.929200372,1.855167903,7.39403514,2.996430947
2020/10/1,11.16060502,3.559432676,6.674112523,0.316755274
2020/10/2,-18.44872713,-5.550915507,0.65881925,-1.205112719
2020/10/5,6.378150228,5.811953387,4.104118299,4.206852556
2020/10/6,-6.871374909,-3.924336134,-4.522079102,-3.338349561
2020/10/7,6.837303341,4.706578452,10.03271267,4.777162947
2020/10/8,0.36327213,1.240254826,4.664368765,1.078048408
2020/10/9,4.743859748,3.479561299,-0.388270186,1.419411648
2020/10/12,4.779942903,6.397269761,0.388874139,2.191738174
2020/10/13,2.458743972,-0.26018292,-2.639145743,-1.367229221
2020/10/14,8.201070639,-2.005453519,-1.56807494,-1.445354764
2020/10/15,-6.730963081,-1.165376383,7.261845102,-0.173598934
2020/10/16,-5.129421829,-0.902989362,6.596832657,0.983621228
2020/10/19,-5.02705432,-4.127126108,-0.747003727,-3.590903545
2020/10/20,-5.158066987,0.819113015,16.86661526,1.00521645
2020/10/21,0.41415743,-0.690314497,1.193563224,-0.865190635
2020/10/22,1.863287905,0.464096114,11.46259545,1.354444855
2020/10/23,-3.02966251,0.918433062,-3.876000215,-0.247587935
2020/10/26,-0.208615648,-4.098878794,-6.856068251,-5.736517741
2020/10/27,2.617903821,1.593678636,-6.49062932,-2.006383875
2020/10/28,-10.98474145,-9.326982377,-5.732970953,-8.586402381
2020/10/29,2.961061031,4.10545513,5.867524339,1.311842594
2020/10/30,-13.86708339,-6.123950547,-2.579656986,-1.477074816
2020/11/2,8.032656343,1.054383458,0.144727694,3.994570139
2020/11/3,14.60079549,4.630571813,5.788665729,5.153008072
2020/11/4,-1.721514508,9.636828585,-0.777893337,3.344519638
2020/11/5,10.16019725,6.473895631,13.47924987,4.870427174
2020/11/6,-4.644593577,0.09040504,2.220527301,-0.588055447
2020/11/9,-5.053482839,-3.813503396,9.941932786,7.366435527
2020/11/10,-6.468095713,-3.413074174,13.60384169,2.254529379
2020/11/11,4.123198842,5.032300893,-3.16477363,-0.197903397
2020/11/12,-3.218428831,-1.629840418,-7.642813625,-2.699707425
2020/11/13,-1.978098839,2.555597591,11.88961613,3.435674551
2020/11/16,-0.251529372,2.004346837,5.704792099,3.991121381
2020/11/17,20.53407337,-0.519744417,-0.889350917,-1.394720745
2020/11/18,25.49200764,-2.053475235,4.40639843,-2.895325744
2020/11/19,6.488382559,2.18423773,0.585495237,0.380540124
2020/11/20,-4.837071799,-1.044544554,1.284376122,-1.863347401
2020/11/23,16.4626263,0.541123259,10.04861518,2.800333385
2020/11/24,16.063524,3.286021028,9.437073834,3.843785684
2020/11/25,8.380733226,1.196539941,-5.380929833,-1.445854789
2020/11/27,5.121960143,2.30375215,-2.199718047,0.317181673
2020/11/30,-7.750201021,-0.145626892,-6.76919853,-2.271202262
2020/12/1,7.558139535,3.204634249,4.790573517,1.562824745
2020/12/2,-6.814334086,-0.116146275,-0.559248909,0.501862264
2020/12/3,10.79337788,0.562984185,-2.74787178,0.71719484
