Date,Toyota,Honda,Nikkei,SMB,HML,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
20151016,2.054,0.967,1.077,-1.24,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20151019,-0.593,-1.269,-0.878,0.54,-0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20151020,-0.489,0.158,0.419,-0.7,0.38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20151021,2.007,3.506,1.907,-0.71,0.97,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20151022,-0.521,-1.212,-0.638,0.23,0.03,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20151023,1.263,4.019,2.112,-1.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20151026,0.507,0.59,0.647,0,-0.39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20151027,-0.504,-1.15,-0.898,0.41,-0.59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20151028,0.372,0.273,0.671,-0.24,0.13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20151029,-1.231,-1.853,0.173,0.33,-0.57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20151030,0.16,1.711,0.778,-0.87,-0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20151102,-1.097,-2.275,-2.095,1.19,-0.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20151104,0.933,1.923,1.304,-0.92,0.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20151105,0.522,-1.787,1.001,-0.85,0.48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20151106,0.094,0.809,0.78,0.12,-0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20151109,1.64,1.881,1.958,-0.8,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20151110,0.052,-0.444,0.145,-0.1,-0.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20151111,-0.405,-0.419,0.102,0.36,-0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20151112,-0.133,-0.101,0.032,0.14,-0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20151113,-0.831,-0.62,-0.512,0.35,-0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20151116,-1.515,-1.175,-1.037,0.06,0.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20151117,1.81,0.684,1.222,0.1,0.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20151118,0.715,0.628,0.094,-0.12,-0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20151119,0.275,1.698,1.072,-0.08,-0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20151120,-0.485,-0.884,0.101,0.19,-0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20151124,0.699,0.347,0.227,0.9,-0.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20151125,-0.472,-1.038,-0.388,0.34,-0.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20151126,1.144,1.447,0.488,-0.02,-0.39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20151127,-0.221,-1.303,-0.303,0.34,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20151130,-0.168,-0.275,-0.686,1.32,-0.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20151201,1.37,2.549,1.342,-0.58,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20151202,0.747,-0.343,-0.371,0.41,-0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20151203,0.091,-0.023,0.009,-0.07,0.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20151204,-1.725,-2.421,-2.184,0.71,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151207,0.157,1.279,0.993,-0.03,-0.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151208,-1.34,-1.039,-1.043,0.31,-0.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20151209,0.698,-0.475,-0.983,-0.06,0.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20151210,-0.693,-2.288,-1.319,-0.16,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20151211,1.109,0.644,0.966,-0.08,-0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151214,-2.89,-1.686,-1.805,0.57,-0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151215,-1.861,-1.871,-1.681,0.24,0.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20151216,3.931,4.475,2.607,-1.42,0.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20151217,1.197,1.219,1.594,-0.07,-0.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20151218,-0.586,-1.854,-1.895,1.03,-0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151221,-1.031,-0.664,-0.373,-0.49,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
