Date,700.HK,175.HK
2020/8/19,-0.01173114,0.002535253
2020/8/20,0.003962107,-0.028796784
2020/8/21,0.019680792,-0.002531312
2020/8/24,0.057918362,0.003846256
2020/8/25,-0.006386593,0.011553806
2020/8/26,0.012853437,-0.01142184
2020/8/27,0.011782436,0.017985754
2020/8/28,-0.031357256,-0.006318308
2020/8/31,-0.018497429,0.040695593
2020/9/1,0.016010771,0.043975836
2020/9/2,0.011143634,0.032724724
2020/9/3,-0.02018389,-0.064581992
2020/9/4,-0.029968475,-0.010888775
2020/9/7,-0.013512988,0.001241294
2020/9/8,-0.004885416,-0.001239755
2020/9/9,-0.008853958,-0.02448107
2020/9/10,0.003959806,-0.008746449
2020/9/11,0.019776688,0.025316866
2020/9/14,0.026156258,-0.014840341
2020/9/15,0,0.013799478
2020/9/16,0.009450368,-0.007432591
2020/9/17,-0.014032475,0
2020/9/18,-0.003806083,-0.004968778
2020/9/21,-0.016176727,0.001269231
2020/9/22,-0.009688135,-0.043758563
2020/9/23,0.004880624,0.022187556
2020/9/24,-0.01749902,-0.021705954
2020/9/25,-0.002978423,-0.007860046
2020/9/28,0.004960192,0.005263549
2020/9/29,-0.000971612,-0.009136129
2020/9/30,0.011862008,0.018501707
2020/10/5,0.026386487,-0.044146895
2020/10/6,0.004774341,0.061147374
2020/10/7,0.014218679,-0.007692358
2020/10/8,0,0.006450078
2020/10/9,0.008396541,0.012824049
2020/10/12,0.032453115,0.039190898
2020/10/14,0.029613486,0.019508391
2020/10/15,-0.037487067,-0.002355936
2020/10/16,0.009065142,-0.017965798
2020/10/19,0.008064895,-0.017064015
2020/10/20,0.005357505,0.03095869
2020/10/21,0.0035336,-0.014404319
2020/10/22,-0.005292407,-0.004871612
2020/10/23,-0.003557771,0
2020/10/27,0.041858871,-0.007377755
2020/10/28,0.027355906,-0.017296284
2020/10/29,0.006658129,0.010037302
2020/10/30,-0.023154315,-0.00868101
2020/11/2,0.017764148,0.135672831
2020/11/3,-0.005818589,0.055262204
2020/11/4,-0.015878284,0.031450998
2020/11/5,0.062019711,0.087421141
2020/11/6,-0.016797715,-0.023368803
2020/11/9,0.013022144,0.007204858
2020/11/10,-0.044184857,-0.030910126
2020/11/11,-0.073948277,-0.056847454
2020/11/12,0.047187198,0.065475493
2020/11/13,0.043325372,0.009758949
2020/11/16,-0.00829554,0.007269506
2020/11/17,-0.025967232,0.011967811
2020/11/18,0.012898364,0.068705032
2020/11/19,-0.027170102,0.004438206
2020/11/20,0.026179529,0.019890462
2020/11/23,-0.003394128,0.012988395
2020/11/24,-0.00342116,0.023485585
2020/11/25,-0.018836125,-0.043827496
2020/11/26,0.022696544,0
2020/11/27,-0.00513346,-0.008731593
2020/11/30,-0.034294819,-0.050689518
2020/12/1,0.026644382,0.004639423
2020/12/2,-0.006923093,-0.04152886
2020/12/3,0.026133811,-0.007256751
2020/12/4,-0.000850081,0.021874689
2020/12/7,-0.008502909,-0.009503696
2020/12/8,-0.000859827,0.004794985
2020/12/9,0.003440541,0.038142596
2020/12/10,-0.011963581,-0.025268106
2020/12/11,0.017295532,0.037741957
2020/12/14,-0.028905775,0.02043591
2020/12/15,-0.01926307,0.026729574
2020/12/16,0.020537324,-0.008679383
2020/12/17,0.020106402,0
2020/12/18,-0.005142668,0.008755374
2020/12/21,-0.013795092,0.013016852
2020/12/22,0.000875354,-0.053517296
2020/12/23,-0.002609689,0.06335691
2020/12/24,-0.026271031,-0.006407602
2020/12/28,-0.066547199,0.049279431
2020/12/29,0.022159804,-0.026553446
2020/12/30,0.054663747,0.025160312
2020/12/31,0.008046917,0.083834342
2021/1/4,0.015057954,0.015098862
2021/1/5,0.019214559,-0.020430234
2021/1/6,0.022288177,0.003794181
2021/1/7,-0.046950236,0.051027838
2021/1/8,0.007919602,0.196055095
2021/1/11,0.031411919,-0.025582649
2021/1/12,-0.001679079,-0.001527075
2021/1/13,0.010163136,0.010804033
2021/1/14,0.056208777,0.003057453
2021/1/15,0.024626671,-0.048757636
2021/1/18,0.018593057,0.025611982
2021/1/19,-0.003037677,0
2021/1/20,0.03739991,0.056260704
2021/1/21,0.004412301,-0.014795733
2021/1/22,0.01245841,-0.039046014
2021/1/25,0.109270529,0.056260704
2021/1/26,-0.062622726,-0.011837799
2021/1/27,-0.02366951,-0.050905678
2021/1/28,-0.029216662,-0.069379815
2021/1/29,0.000735239,-0.039005368
2021/2/1,0.044744171,0.014113668
2021/2/2,0.017562428,0.043501188
2021/2/3,0.01587434,-0.018352978
2021/2/4,-0.000681665,-0.022056189
2021/2/5,-0.003394214,-0.024310693
2021/2/8,0.00477468,0.00532231
2021/2/9,0.005431824,0.037193094
2021/2/10,0.027677669,0.022168693
2021/2/11,-0.005256978,-0.003338179
2021/2/16,-0.015855609,0.01340087
2021/2/17,0.016784495,-0.001635603
2021/2/18,-0.013198493,-0.026494042
2021/2/19,-0.008691609,-0.005121773
2021/2/22,-0.037118762,-0.030773272
2021/2/23,-0.009107224,-0.029968961
2021/2/24,-0.028293808,-0.058191381
2021/2/25,0.006553526,0.027033227
2021/2/26,-0.041936678,-0.052639484
2021/3/1,0.052081258,0.033755686
2021/3/2,0.001423707,-0.003841813
2021/3/3,0.035814855,0.007709312
2021/3/4,-0.045643101,-0.057367706
2021/3/5,-0.015942497,-0.01217181
2021/3/8,-0.053753821,-0.094472654
2021/3/9,0.002341039,0.018146173
2021/3/10,0.022514095,0.026729574
2021/3/11,0.033408503,0.039050556
2021/3/12,-0.044087625,-0.008348909
2021/3/15,-0.034590742,-0.021056627
2021/3/16,0.00399289,0.030109839
2021/3/17,-0.00952629,0.025055282
