Date,TSLA.US,GM.US
2013/9/6,11.1313,27.8145
2013/9/9,10.7133,28.0694
2013/9/10,11.0913,28.4666
2013/9/11,10.9013,27.9688
2013/9/12,10.9953,27.9848
2013/9/13,11.036,27.7428
2013/9/16,11.1053,27.8682
2013/9/17,11.082,28.2476
2013/9/18,11.0813,28.9165
2013/9/19,11.8613,28.6477
2013/9/20,12.226,28.3372
2013/9/23,12.074,28.5691
2013/9/24,12.1553,28.808
2013/9/25,12.3493,28.6079
2013/9/26,12.576,28.4317
2013/9/27,12.7267,27.9848
2013/9/30,12.8913,27.6752
2013/10/1,12.8667,27.6314
2013/10/2,12.0633,27.6522
2013/10/3,11.554,27.1525
2013/10/4,12.0653,27.4661
2013/10/7,12.2047,27.0679
2013/10/8,11.6487,26.3213
2013/10/9,11.252,26.2844
2013/10/10,11.5287,26.814
2013/10/11,11.9133,27.1993
2013/10/14,11.9813,27.1824
2013/10/15,12.2627,26.7005
2013/10/16,12.2373,27.0301
2013/10/17,12.1867,27.4402
2013/10/18,12.2267,27.6154
2013/10/21,11.5067,27.3138
2013/10/22,11.436,27.2431
2013/10/23,10.9667,26.9703
2013/10/24,11.5433,27.4143
2013/10/25,11.3107,27.3814
2013/10/28,10.8573,27.5457
2013/10/29,10.9647,27.7428
2013/10/30,10.6147,28.6477
2013/10/31,10.6627,28.4317
2013/11/1,10.8113,28.7672
2013/11/4,11.68,28.8309
2013/11/5,11.7873,28.5372
2013/11/6,10.0773,28.155
2013/11/7,9.318,27.6393
2013/11/8,9.19667,28.2058
2013/11/11,9.64667,28.2226
2013/11/12,9.18667,28.2058
2013/11/13,9.24667,29.5795
2013/11/14,9.17333,29.6213
2013/11/15,9.03,29.8294
2013/11/18,8.10533,29.6761
2013/11/19,8.406,29.2481
2013/11/20,8.074,29.0001
2013/11/21,8.14,29.3307
2013/11/22,8.092,28.9533
2013/11/25,8.056,28.8907
2013/11/26,8.03333,28.9842
2013/11/27,8.46267,29.8931
2013/11/29,8.48533,29.8005
2013/12/2,8.278,30.0912
2013/12/3,9.64667,29.3436
2013/12/4,9.26333,29.7856
2013/12/5,9.36533,30.0763
2013/12/6,9.15733,30.9076
2013/12/9,9.44,31.468
2013/12/10,9.47933,31.0818
2013/12/11,9.31,30.9016
2013/12/12,9.83133,30.816
2013/12/13,9.84333,30.808
2013/12/16,9.86267,31.8821
2013/12/17,10.164,31.9528
2013/12/18,9.86533,31.7527
2013/12/19,9.38133,31.008
2013/12/20,9.54933,31.5387
2013/12/23,9.57,31.7677
2013/12/24,10.094,31.455
2013/12/26,10.3667,31.9459
2013/12/27,10.0747,31.5008
2013/12/30,10.1627,31.3058
2013/12/31,10.0287,31.4471
2014/1/2,10.0067,31.5088
2014/1/3,9.97067,30.4486
2014/1/6,9.8,31.0818
2014/1/7,9.95733,30.9314
2014/1/8,10.0853,31.1006
2014/1/9,9.83533,31.1544
2014/1/10,9.71467,30.8
2014/1/13,9.28933,30.4566
2014/1/14,10.7513,30.791
2014/1/15,10.942,30.3003
2014/1/16,11.398,30.0076
2014/1/17,11.334,29.7
2014/1/21,11.7787,29.4989
2014/1/22,11.904,29.8523
2014/1/23,12.1,29.5617
2014/1/24,11.64,28.3372
2014/1/27,11.308,28.2834
2014/1/28,11.892,28.3222
2014/1/29,11.682,27.9688
2014/1/30,12.1893,28.3461
2014/1/31,12.094,27.7598
2014/2/3,11.8073,27.1226
2014/2/4,11.9153,27.5586
2014/2/5,11.628,27.1137
2014/2/6,11.892,27.1067
2014/2/7,12.4353,27.7826
2014/2/10,13.104,26.8509
2014/2/11,13.108,27.1226
2014/2/12,13.0213,27.3625
2014/2/13,13.3087,27.0828
2014/2/14,13.2153,27.6592
2014/2/18,13.58,27.936
2014/2/19,12.9093,27.7239
2014/2/20,13.998,28.0942
2014/2/21,13.9733,28.2306
2014/2/24,14.51,28.1202
2014/2/25,16.5333,27.7776
2014/2/26,16.8667,28.3372
2014/2/27,16.836,28.2904
2014/2/28,16.3207,27.8534
2014/3/3,16.704,27.8603
2014/3/4,16.9893,28.4138
2014/3/5,16.844,28.8677
2014/3/6,16.8627,28.8837
2014/3/7,16.414,29.0001
2014/3/10,15.9227,28.5372
2014/3/11,15.6273,27.0679
2014/3/12,16.0993,26.822
2014/3/13,15.8527,26.2297
2014/3/14,15.398,26.4617
2014/3/17,15.5987,26.8817
2014/3/18,16.0027,27.2998
2014/3/19,15.7227,27.0987
2014/3/20,15.6607,27.3735
2014/3/21,15.2593,27.1764
2014/3/24,14.678,27.2779
2014/3/25,14.696,26.7891
2014/3/26,14.1973,26.5631
2014/3/27,13.8213,26.7891
2014/3/28,14.158,26.9593
2014/3/31,13.8967,26.7195
2014/4/1,14.4647,26.6567
2014/4/2,15.3527,27.0729
2014/4/3,15.0267,27.5118
2014/4/4,14.1487,27.0211
2014/4/7,13.8347,26.4765
2014/4/8,14.364,26.8051
2014/4/9,14.462,26.0983
2014/4/10,13.6127,25.8494
2014/4/11,13.5853,24.7862
2014/4/14,13.206,25.266
2014/4/15,12.9273,25.8951
2014/4/16,13.274,26.3681
2014/4/17,13.208,26.3759
2014/4/21,13.6253,26.3759
2014/4/22,14.576,26.5701
2014/4/23,13.866,26.6965
2014/4/24,13.8573,26.5243
2014/4/25,13.3233,26.1739
2014/4/28,13.234,26.2077
2014/4/29,13.7947,26.3849
2014/4/30,13.8593,26.7633
2014/5/1,13.8487,27.0908
2014/5/2,14.0607,27.1475
2014/5/5,14.4407,26.9753
2014/5/6,13.8187,26.9753
2014/5/7,13.4233,27.2242
2014/5/8,11.906,27.0529
2014/5/9,12.1507,26.5701
2014/5/12,12.3113,27.0291
2014/5/13,12.6773,27.2859
2014/5/14,12.708,27.1226
2014/5/15,12.5727,26.6717
2014/5/16,12.7707,26.3909
2014/5/19,13.0727,26.5851
2014/5/20,13.02,25.6692
2014/5/21,13.2967,25.9728
2014/5/22,13.6587,25.9419
2014/5/23,13.82,26.1052
2014/5/27,14.104,26.3461
2014/5/28,14.016,26.8489
2014/5/29,14.016,26.7423
2014/5/30,13.8513,26.8429
2014/6/2,13.6467,27.0609
2014/6/3,13.6627,27.3735
2014/6/4,13.5993,28.3501
2014/6/5,13.7933,28.157
2014/6/6,13.878,28.6099
2014/6/9,13.6873,28.5701
2014/6/10,13.4867,28.4924
2014/6/11,13.6313,28.2724
2014/6/12,13.568,27.8036
2014/6/13,13.7613,27.8892
2014/6/16,14.974,28.2256
2014/6/17,15.4447,28.4576
2014/6/18,15.1413,28.4128
2014/6/19,15.186,28.4656
2014/6/20,15.306,28.3511
2014/6/23,15.8147,28.7025
2014/6/24,15.5,28.6338
2014/6/25,15.7927,29.033
2014/6/26,15.7067,28.8817
2014/6/27,15.9373,28.6627
2014/6/30,16.004,28.4128
2014/7/1,15.9813,29.4223
2014/7/2,15.2953,29.5387
2014/7/3,15.2833,29.5387
2014/7/7,14.844,29.3057
2014/7/8,14.6047,29.4153
2014/7/9,14.8707,29.7219
2014/7/10,14.6307,29.5467
2014/7/11,14.542,29.7049
2014/7/14,15.1133,29.5089
2014/7/15,14.6387,29.4153
2014/7/16,14.4773,29.3377
2014/7/17,14.36,29.04
2014/7/18,14.668,29.2799
2014/7/21,14.7027,29.2978
2014/7/22,14.6387,29.5557
2014/7/23,14.8327,29.2799
2014/7/24,14.9027,27.9748
2014/7/25,14.9047,27.4522
2014/7/28,14.988,27.3158
2014/7/29,15.0007,26.9653
2014/7/30,15.2613,26.8529
2014/7/31,14.8867,26.4715
2014/8/1,15.5513,26.1729
2014/8/4,15.9013,26.3063
2014/8/5,15.8993,26.1122
2014/8/6,16.5953,26.1431
2014/8/7,16.826,25.9151
2014/8/8,16.542,26.2455
2014/8/11,17.288,26.4557
2014/8/12,17.3307,26.3769
2014/8/13,17.354,26.5731
2014/8/14,17.4253,26.5731
2014/8/15,17.4673,26.4865
2014/8/18,17.3293,26.9255
2014/8/19,17.1173,27.0599
2014/8/20,17.0473,27.0271
2014/8/21,16.956,27.0818
2014/8/22,17.1187,26.8021
2014/8/25,17.5033,27.1385
2014/8/26,17.4493,27.2789
2014/8/27,17.55,27.1674
2014/8/28,17.5907,27.1465
2014/8/29,17.98,27.2401
2014/9/2,18.9413,27.2401
2014/9/3,18.746,26.9793
2014/9/4,19.0693,27.1057
2014/9/5,18.4927,27.0659
2014/9/8,18.8073,26.2455
2014/9/9,18.5653,26.1112
2014/9/10,18.74,26.2854
2014/9/11,18.6873,26.5373
2014/9/12,18.6133,26.2685
2014/9/15,16.924,26.5551
2014/9/16,17.3827,26.6149
2014/9/17,17.4253,26.7274
2014/9/18,17.588,26.8687
2014/9/19,17.288,26.7991
2014/9/22,16.6687,26.4039
