Date,Toyota,Honda,Nikkei,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2015/7/3,0.356 ,0.014 ,0.084 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/6,-1.407 ,-1.833 ,-2.082 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/7,0.608 ,-0.378 ,1.315 ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/8,-2.280 ,-2.911 ,-3.136 ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/9,-0.415 ,-0.079 ,0.597 ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2015/7/10,0.341 ,-0.013 ,-0.381 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/13,2.372 ,1.135 ,1.567 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/14,1.084 ,1.562 ,1.471 ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/15,0.879 ,1.550 ,0.383 ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/16,1.921 ,-0.651 ,0.668 ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2015/7/17,-1.031 ,0.189 ,0.247 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/21,0.371 ,-1.018 ,0.925 ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/22,-1.170 ,-0.622 ,-1.191 ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/23,-0.014 ,0.293 ,0.438 ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2015/7/27,-1.136 ,-0.053 ,-0.946 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/28,-1.294 ,-1.117 ,-0.104 ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/29,0.433 ,-0.116 ,-0.128 ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/30,0.628 ,1.897 ,1.083 ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2015/7/31,1.103 ,1.532 ,0.304 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015/8/3,-0.641 ,8.770 ,-0.180 ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/4,-0.964 ,-0.151 ,-0.135 ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/5,-2.354 ,0.810 ,0.457 ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/6,1.300 ,2.961 ,0.244 ,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015/8/7,1.059 ,-1.460 ,0.291 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/10,0.319 ,-0.634 ,0.406 ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/11,-0.269 ,0.046 ,-0.423 ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/12,-1.662 ,-2.196 ,-1.583 ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/13,-0.576 ,0.233 ,0.994 ,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015/8/14,0.049 ,-2.519 ,-0.369 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/17,-0.162 ,0.250 ,0.491 ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/18,0.439 ,0.297 ,-0.319 ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/19,-0.880 ,-1.208 ,-1.614 ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/20,-2.089 ,-2.434 ,-0.935 ,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015/8/21,-2.999 ,-2.641 ,-2.983 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015/8/24,-6.746 ,-6.524 ,-4.606 ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
